,year,month,date,region,district,market,commodity,price
224,2020,august,2020-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),194.33
225,2020,september,2020-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),199.33
226,2020,october,2020-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),206.33
230,2020,november,2020-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),217.44
237,2020,december,2020-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),214.71
243,2021,january,2021-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),211.76
250,2021,february,2021-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),190
258,2021,march,2021-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),162.5
266,2021,april,2021-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),145
271,2021,may,2021-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),146
272,2021,june,2021-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),176
273,2021,july,2021-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),198
274,2021,august,2021-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),200
276,2021,september,2021-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),200
277,2021,october,2021-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),209
278,2021,november,2021-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),220
279,2021,december,2021-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),229
280,2022,january,2022-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),249
281,2022,february,2022-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),325.89
282,2022,march,2022-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),320.89
283,2022,april,2022-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),314.89
284,2022,may,2022-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),312.89
285,2022,june,2022-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),312.89
286,2022,july,2022-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),303.89
287,2022,august,2022-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),306.89
288,2022,september,2022-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),310.89
289,2022,october,2022-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),330.89
290,2022,november,2022-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),420.89
291,2022,december,2022-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),470.89
293,2023,january,2023-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),534.17
295,2023,february,2023-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),633.33
296,2023,march,2023-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),600
298,2023,april,2023-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),522.22
299,2023,may,2023-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),522.22
301,2023,june,2023-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),515
303,2023,july,2023-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),700
306,2023,august,2023-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),700
309,2023,september,2023-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),747.5
312,2023,october,2023-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),796.5
315,2023,november,2023-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),841.67
318,2023,december,2023-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),945
321,2024,january,2024-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),1023.53
324,2024,february,2024-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),910
325,2024,march,2024-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),890
326,2024,april,2024-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),884
327,2024,may,2024-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),950
328,2024,june,2024-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),1010
