Year,Month,Rainfall,Temp
2022,May,0,19.3
2022,Jun,35.2,21
2022,Jul,0.9,21
2022,Aug,3.6,17
2022,Sep,2.5,26
2022,Oct,3.4,25
2022,Nov,67.5,22
2022,Dec,349.6,30
2023,Jan,314.5,25.4
2023,Feb,241.2,27
2023,Mar,672.9,22.2
2023,Apr,80.5,25
2023,May,0,19.3
2023,Jun,0,21
2023,Jul,0,21
2023,Aug,0,17
2023,Sep,0,26
2023,Oct,38.3,25
2023,Nov,45.2,22
2023,Dec,200.3,27
2024,Jan,300.1,25
2024,Feb,254.4,24.3
2024,Mar,483.8,21
2024,Apr,114.2,24
2024,May,3,17
2024,Jun,0,16
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
