year,month,date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2011,february,2/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,35.14,0.2342
2011,march,3/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,39.6,0.2626
2011,april,4/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.23,0.2002
2011,may,5/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,27.8,0.1843
2011,june,6/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,27.63,0.1841
2011,july,7/15/2011
2011,august,8/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,34.6,0.211
2011,august,9/15/2011
2011,october,10/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,40.85,0.2448
2011,november,11/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,42.7,0.2594
2011,december,12/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,45.7,0.2822
2012,january,1/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,62.89,0.3799
2012,february,2/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,50.25,0.3045
2012,march,3/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,49.46,0.3009
2012,april,4/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,41.09,0.2462
2012,may,5/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,43.8,0.1759
2012,june,6/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,64,0.2392
2012,july,7/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,62.16,0.2271
2012,august,8/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,67.65,0.2528
2012,september,9/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,63.66,0.2195
2012,october,10/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,58.05,0.1929
2012,november,11/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,63.75,0.1992
2012,december,12/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,84.5,0.2557
2013,january,1/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,92.06,0.2877
2013,february,2/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,126.75,0.3473
2013,march,3/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,175.53,0.4809
2013,april,4/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,106.2,0.2723
2013,may,5/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,81.98,0.2369
2013,june,6/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,90.32,0.2718
2013,july,7/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,115.62,0.3558
2013,august,8/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,142.75,0.4461
2013,september,9/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,129.8,0.3661
2013,october,10/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,129.49,0.3648
2013,november,11/15/2013,
2013,december,12/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,161.9,0.3799
2014,january,1/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,157.67,0.3583
2014,february,2/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,126.7,0.2955
2014,march,3/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,115.45,0.277
2014,april,4/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,67.22,0.1746
2014,may,5/15/2014,
2014,june,6/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,74.52,0.1872
2014,july,7/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,76.91,0.1998
2014,august,8/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,77.49,0.2013
2014,september,9/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,79.73,0.2071
2014,october,10/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,76.28,0.1832
2014,.november,11/15/2014,
2014,december,12/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,92.13,0.1957
2015,january,1/15/2015,
2015,february,2/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,100.56,0.2242
2015,march,3/15/2015,
2015,april,4/15/2015,
2015,may,5/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,122.79,0.2854
2015,june,6/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,135,0.316
2015,july,7/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,133.34,0.2984
2015,august,8/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,154.21,0.2866
2015,september,9/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,149.75,0.2695
2015,october,10/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,155.97,0.2839
2015,november,11/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,169.4,0.2879
2015,december,12/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,188.55,0.3051
2016,january,1/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,227.12,0.3302
2016,february,2/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,269.6,0.3648
2016,march,3/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,258.87,0.3761
2016,april,4/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,175.57,0.2596
2016,may,5/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,194.95,0.2775
2016,june,6/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,249.21,0.355
2016,july,7/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,240.6,0.3412
