year,month,date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2017,november,11/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,105.75,0.1475

2017,december,12/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,103.08,0.1445

2018,january,1/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,118.27,0.1658
2018,february,2/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,141.22,0.1976
2018,march,3/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,121.71,0.1706
2018,april,4/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,114.1,0.1559
2018,may,5/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,115.58,0.1619
2018,june,6/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,120.28,0.1686
2018,july,7/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,132.41,0.1811
2018,august,8/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,139.8,0.1959
2018,september,9/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,142.62,0.1948
2018,october,10/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,146.77,0.2041
2018,november,11/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,155.6,0.216
2018,december,12/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,164.87,0.2236
2019,january,1/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,202.39,0.2812
2019,february,2/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,193.72,0.2691
2019,march,3/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,217.66,0.3024
2019,april,4/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,158.75,0.2196
2019,april,4/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,159.74,0.221
2019,may,5/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,144.42,0.1984
2019,may,5/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,142.42,0.1956
2019,june,6/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,166.67,0.2154
2019,june,6/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,161.76,0.2091
2019,july,7/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,206.87,0.2713
2019,july,7/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,223.88,0.2936
2019,august,8/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,236.74,0.3276
2019,september,9/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,242.99,0.3287
2019,october,10/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,255.34,0.3511
2019,november,11/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,288.1,0.3958
